"meanImp";"medianImp";"minImp";"maxImp";"normHits";"decision"
"P5_CD24HIGHCD38HIGH_TRANSITIONAL_BCELLS";-0.641606312084513;-0.841835488684441;-1.74003697256463;0.648397798881422;0;"Rejected"
"P5_CD24POSCD38NEGMEMORY_BCELLS";6.70307400662555;6.684936161414;3.01353295866883;10.6368135354912;0.96969696969697;"Confirmed"
"P5_CD24POSCD38POS_MATURE_BCELLS";4.38401531782452;4.36728104003425;0.537364421330875;8.11629834257134;0.838383838383838;"Confirmed"
"P5_CD27NEGIGDNEG_BCELLS";0.907741460235421;1.0811645795336;-1.38773160295061;3.04328268846361;0.0909090909090909;"Rejected"
"P5_CD27NEGIGDPOS_NAIVE_BCELLS";1.942708834382;1.94852017025679;-0.902927256924475;5.61967039998444;0.404040404040404;"Rejected"
"P5_CD27POSIGDPOS_NON_SWITCHED_MEMORY_BCELLS";0.620964642074133;0.71682360941298;-0.742890391365062;2.08144294426202;0.0101010101010101;"Rejected"
"P5_CD38HIGHCD27HIGH_PLASMABLASTS";-0.931623212680474;-0.926850350033199;-2.34073803547463;0.732272333709082;0;"Rejected"
"P5_CD5POS_BCELLS";4.10691483086823;4.32728934707694;0.859640597148724;7.19868970211936;0.808080808080808;"Confirmed"
"P5_IGDNEGCD27POS";1.37567036902147;1.39424387927131;-1.86443308302778;3.98560842080221;0.222222222222222;"Rejected"
"P5_IGDNEGCD38HIGH_BM3_4";-1.23441608041911;-1.27421001390296;-2.93553723022537;0.377380230529338;0;"Rejected"
"P5_IGDNEGCD38NEG_BM5";3.08753288138198;3.11215500281396;-0.137298488077622;6.9568362148662;0.656565656565657;"Rejected"
"P5_IGDNEGCD38POS_EBM5";-0.757871614679394;-0.94086615210249;-3.60382911318586;1.48598718299832;0.0101010101010101;"Rejected"
"P5_IGDPOSCD38HIGH_BM2P";-0.718886499705349;-0.504731542660782;-2.45777023971612;0.289422332491229;0;"Rejected"
"P5_IGDPOSCD38NEG_BM1";1.7510365848796;1.67052087939829;-1.07456004572056;4.7707880900362;0.363636363636364;"Rejected"
"P5_IGDPOSCD38POS_BM2";2.46835013262122;2.40966159672191;-0.0128346729443553;5.14914443202624;0.454545454545455;"Rejected"
